s1,s2,stance
السعودية تتوقع تدفقات بمليارات الدولارات بعد قرار MSCI,خسائر بالمليارات للسعودية بعد ضمها لمؤشر MSCI,disagree
حكم بسجن جنود اغتصبوا عاملات إغاثة أجنبيات في جنوب السودان,قام بعض الجنود في جنوب السودان بإغتصاب عاملات أجنبيات مما أدى إلى محاكمتهم,agree
الحرس الثوري الإيراني يتبنى قصف جماعة كردية إيرانية شمالي العراق,الحرس الثورى الإيراني ينفي قصف الأكراد فى شمالى العراق,disagree
الشرطة العراقية تقبض على شاب متهم باغتصاب وقتل فتاة ألمانية,تعرض فتاة ألمانية للإغتصاب والقتل عن طريق شاب عراقي,agree
التحقيق في اعتداء ملثمين على رجل وامرأة في المغرب,ملثمين يعتدون على شخصينفي المغرب والشرطة تحقق,agree
اتفاقيات اقتصادية وتعاون قريب بين الصين والإمارات,انسداد آي آفاق تعاون اقتصادي صيني إماراتي,disagree
بلومبيرغ: أردوغان قد يفقد فرصته لدعم الليرة,بلومليرغ: أردوغان قد ينجح,disagree
مقتل اثنين في اشتباكات مع الشرطة العراقية مع استمرار الاحتجاجات,استمرار الاحتجاجات الواسعة فى العراق دون سقوط قتلى,disagree
روحاني يهدد ترامب بـعواقب وخيمة إذا انسحب من الاتفاق النووي,هدد روحانى ترامب بعواقب وخيمة حال الانسحاب من الاتفاق النووي,agree
مقتل رقيب شرطة وجرح 4 أشخاص في تفجير بالإسكندرية,مقتل لواء شرطة وجرح 10 أشخاص في تفجير بالإسماعيلية,disagree
قوة الدولار تؤذي الذهب,الذهب يتأثر سلباً بقوة الدولار,agree
أمنستي تتهم الجيش المصري بـ استخدام قنابل عنقودية في سيناء,براءة الجيش المصرى من تهمة استخدام القنابل العنقودية فى سيناء,disagree
العراق.. ارتفاع احتياطي العملة الأجنبية في يونيو,ارتفاع احتياطي العملة الأجنبية في يونيو بالعراق,agree
اكتشاف حقول معادن ثمينة تسد حاجات العالم لقرون,اكتشاف معادن ثمينة تكفي العالم لقرون,agree
اختلسوا مليار دولار.. مصر تحيل المتهمين للنيابة,مصريون اختلسوا مليار دولار يفلتون من المحاكمة,disagree
الدولار يتلقى دعما من المراهنة على رفع الفائدة الأميركية,هبوط للدولار بالتزامن مع توقعات بخفض الفائدة الأميركية,disagree
زيارة لمحمد بن سلمان إلى الكويت مع توقعات بمناقشة أزمة الخليج,محمد بن سلمان يلغي زيارته إلى الكويت,disagree
خطة صينية لغزو سوق السيارات الكهربائية,أسواق السيارات الكهربائية قريبا تحت الغزو الصيني,agree
السعودية تعتقل المزيد من ناشطات حقوق الإنسان,السعودية بدون أي اعتقالات,disagree
تعرض إيرانية تعيش في بريطانيا منذ 10 سنوات للاعتقال عند زيارتها للبلاد,اطلاق سراح إيرانية تعيش في بريطانيا منذ 10 سنوات,disagree
أردوغان يهاجم قانون القومية اليهودية ويصف إسرائيل بأنها أكثر الدول فاشية وعنصرية,أردوغان يصف إسرائيل بأنها أكثر الدول فاشية وعنصرية,agree
العقوبات ترفع أسعار النفط,العقوبات تهوي بالنفط,disagree
مخاوف في صناعة بي ام دبليو بسبب بريكسيت,تهديد في مصانع المرسيدس في بريطانيا بسبب بريكسيت,disagree
إنجاز تاريخي للإمارات في مجال الطاقة النووية,إنجاز في مجال الطاقة النووية إماراتيا,agree
تركيا.. التضخم يرتفع والليرة تتراجع لمستوى قياسي,الليرة تتعافى في تركيا والتضخم يتراجع,disagree
أسعار النفط تتراجع.. وأوبك قد تزيد الإنتاج,أمام تراجع أسعار النفط أوبك تتجه لزيادة الإنتاج,agree
مشروع جديد يوفر ٥٠ الف فرصة عمل في قناة السويس,٣٠ الف فرصة عمل يجددها مشروع قناة السويس,disagree
أرامل ستيف ماكوين يفتتحنَّ مهرجان لندن السينمائي,مهرجان لندن السينمائي يُفتتح من قبل أرامل ستيف ماكوين,agree
الذهب يتراجع  والدولار يعصد بعد تشديد السياسة النقدية,السياسة النقدية تدفع بالذهب وتهبط بالدولار,disagree
الذهب يصعد مع تراجع الدولار,تراجع بالذهب مع ارتفاع الدولار,disagree
المغرب: 7 قتلى على الأقل في حادث انقلاب قطار بمنطقة بوقنادل,انقلاب قطار بمنطقة بوقنادل و سقوط 7 قتلى على الأقل فى المغرب,agree
قانون للتصريح عن مكاسب المسؤولين تقره تونس,قانون للتصريح عن مكاسب الفنانين تقره تونس,disagree
تظاهرات فلسطينية من أجل العودة,هدوء الأوضاع فى فلسطين,disagree
ألمانيا توجه ضربة جديدة لتكنولوجيا وقود الديزل,ضربة جديدة  لتكنولوجيا وقود الديزل من قبل ألمانيا,agree
تعهد من أردوغان بتحقيق السلام فى العراق و سوريا,ردوغان لا يرى أهميو لتحقيق السلام فى العراق و سوريا,disagree
النفط يرتفع.. وإشارة مطمئنة إلى المستثمرين,هبوط أسعار النفط والمستثمرين قلقون,disagree
ألف ليلة وليلة حكايات ترويها لوحات نادرة لأسرة محمد علي,لوحات نادرة لأسرة محمد علي تروي حكايات ألف ليلة وليلة,agree
اعتراف خامنئي:خطأ فادح في أزمة إيران,خامنئي يرفض الاعتراف بوجود أي خطأ,disagree
انهيار كبير للريال الإيراني,انهيار كبير للريال السعودي,disagree
بالذهب.. الأتراك يتحدون تعليمات أردوغان,تحدي تعليمات الرئيس التركي بالذهب,agree
تونس.. إيرادات السياحة تقفز إلى النصف في 2018,صعود قياسي الإيرادات السياحة في تونس في ٢٠١٨,agree
وزير الخارجية الأمريكي في الرياض في بداية جولته بالشرق الأوسط,ألغى وزير الخارجية الأمريكى زيارته للشرق الأوسط,disagree
نجمة هوليود الشهيرة ريز ويذرسبون بـثلاثة أرجل,ريز ويذرسبون نجمة هوليوود الشهيرة بـثلاثة أيادي,disagree
الليرة التركية تواصل السقوط,الليرة التركية تواصل الارتفاع,disagree
توقيف عناصر فى شبكة تهريب فى ليبيا بعد ورود 205 مذكرة بحقهم,استمرار شبكات التهريب فى ليبيا دون ردع,disagree
الذهب يتعافى مع تراجع الدولار الأميركي,الذهب ياراجع مع صعود للدولار,disagree
نساء غوطة دمشق يشاركن العالم قصصهن عبر فيسبوك,نساء غوطة يشاركن حكايتهن للعالم عبر وسائل التواصل الاجتماعى,agree
المغرب: صدمة إثر مقتل الشابة حياة في البحر وسط تفشي إشاعة فونطوم,مقتل الشابة حياة فى البحر سبب صدمة كبيرة فى أرجاء المغرب وسط تفشي إشاعة فونطوم,agree
بعد زلزال الليرة.. كابوس سندات أكتوبر ينتظر تركيا,تعافي الليرة وسندات مالية تدفعان الاقتصاد التركي,disagree
إعصار في مدغشقر يهدد صناعة الأيس كريم في العالم,ميناوو اعصار مدغشقر يدعم صناعة الآيس كريم,disagree
صور تعرض للمرة الأولى لأول ظهور للبيتلز في الولايات المتحدة,بالصور: أول ظهور للبيتلز في أمريكا اللاتينية,disagree
مسيرة صعود هارفي واينستين إلى العالمية وسقوطه المدوي,حكاية صعود و سقوط هارفي واينستين,agree
تركيا.. التضخم يرتفع والليرة تتراجع لمستوى قياسي,الليرة في تراجع قياسي وارتفاع للتضخم في تركيا,agree
فرنسا تعرض وساطتها لحل الأزمة بين تركيا و الاكراد فى شمالى سوريا,فرنسا تتجاهل أزمة تركيا و الاكراد فى شمالى سوريا,disagree
من قبرص إلى مصر.. لا عوائق تعترض خط الغاز,غاز قبرص لمصر بلا عوائق,agree
تونس تقر قانون التصريح عن مكاسب المسؤولين,قانون للتصريح عن مكاسب الفنانين تقره تونس,disagree
العالم يترقب موقف أميركي والنفط لمستويات متدنية,العالم يترقب موقف إيراني حول هبوط أسعار النفط,disagree
تعهد أردوغان بإعلان نتائج التحقيق في قضية اختفاء جمال خاشقجي,أردوغان غير مكترث بإعلان نتائج التحقيق في قضية اختفاء خاشقجي,disagree
جونسون يدفع بريطانيا للخروج من الاتحاد الجمركي الأوروبي,جونسون يدعو ب بريطانيا للبقاء في الاتحاد الجمركي الأوروبي,disagree
دبي تثبت مصاريف المدارس.. وتخفض رسوما حكومية,رفع الرسوم الحكومية في دبي,disagree
سقوط فلسطينى نتيجة القصف الإسرائيلي على غزة قبيل الاحتجاجات المرتقبة,قصف الإسرائيلي على غزة دون وقوع ضحايا,disagree
الزفزافي: رمز حراك الريف المغربي ووريث عبد الكريم الخطابي,الزفزافي وريث عبد المنعم الخطابي غير معروف لدى الريف المغربي,disagree
واشنطن تلغي 200 مليون دولار من المساعدات المخصّصة لغزة والضفة الغربية,واشنطن ترسل 200 مليون دولار مساعدات لغزة والضفة الغربية,disagree
معركة الحديدة.. المبعوث الأممي يجري مباحثات في صنعاء مع استمرار القتال,المبعوث الأممي يجري العديد من المباحثات في صنعاء مع استمرار الوضع الراهن,agree
الذهب يهبط بعد تلميحات برفع الفائدة,التلميح برفع الفائدة يهبط بالذهب,agree
ترامب: الحرس الثوري الإيراني يسرق شعبه لتمويل الإرهاب في الخارج,ترامب: الحرس الثوري الإيراني يسرق شعبه لتمويل الإرهاب في بلاده,disagree
مقتل 9 من قوات الحرس الوطني في هجوم مسلح شمال غربي تونس,سقوط 9 قتلى من قوات الحرس الوطني التونسى في هجوم مسلح شمال غربي البلاد,agree
حب جبران خليل جبران الأول في مسرحية غنائية في لندن,مسرحية غنائية في باريس لحب جبران خليل جبران الأول,disagree
الذهب إلى أدنى مستوى في 5 أشهر,الذهب يهوي لمستوى في مسبوق منذ خمسة أشهر,agree
البرلمان العراقي يقر إعادة الفرز اليدوي للأصوات في الانتخابات العامة الأخيرة بإشراف قضائي,قرر البرلمان العراقى إعادة فرز الأصوات فى الانتخابات يدويا بإشراف قضائي,agree
تراجع النفط عالمياً مع ارتفاع الدولار,صعود حاد بأسعار النفط مع انخفاض الدولار,disagree
مجلس الشيوخ الأمريكي يعترض مشروع قرار وقف دعم السعودية في الحرب باليمن,مجلس الشيوخ الأمريكي يوافق على مشروع قرار وقف دعم السعودية في الحرب باليمن,disagree
أعلنت الإمارات عن إصدار حكم بسجن الناشط الحقوقي أحمر منصور لمدة عشر سنوات,الإمارات تعلن براءة الناشط أحمر منصور,disagree
الإنتاج الأميركي.. يهبط بأسعار النفط,هبوط أسعار النفط بفعل الإنتاج الأميركي,agree
مليار دولار سلع للشعب المصري,سلع بمليار دولار للمواطنين اللبنانيين,disagree
قرر البرلمان العراقى إعادة فرز الأصوات فى الانتخابات يدويا بإشراف قضائي,البرلمان العراقى يرفض إعادة فرز الأصوات الانتخابية,disagree
أخو العاهل السعودي الأمير أحمد بن عبد العزيز ينفي انتقاده للملك وولي العهد,نفى الأمير أحمد بن عبد العزيز أخو العاهل السعودي انتقاده للملك وولي العهد,agree
طلب فلسطيني للمحكمة الجنائية الدولية بالتحقيق في جرائم ارتكبتها إسرائيل,المحكمة الجنائية الدولية ترفض التحقيق فى جرائم ارتكبتها إسرائيل,disagree
إقالة رئيس هيئة الترفيه السعودي بعد عرض لاعبات السيرك المثير للجدل بالرياض,استمراررئيس هيئة الترفيه السعودي فى منصبه رغم عرض لاعبات السيرك المثير للجدل,disagree
صندوق النقد:الاقتصاد العالمي في مكانه,النقد الدولي: تراجع النمو الاقتصادي,disagree
قوات موالية للحكومة السورية تدخل منطقة عفرين الكردية,فشل الحكومة السورية في السيطرة على عفرين الكردية,disagree
وقوع 3 قتلى في إطار الانتخابات البرلمانية و الرئاسية في تركيا,الانتخابات التركية: مقتل 10 في اشتباكات قبيل الانتخابات البرلمانية والرئاسية,disagree
تيلرسون في أنقرة التي تطالب باستبعاد ميليشيا كردية من قوات سوريا الديمقراطية,طالبت تيلرسون بضرورة بقاء ميليشا كردية في القوات السورية,disagree
زلزال الليرة التركية يضرب اليورو وعملات الأسواق الناشئة,زلزال الليرة اللبنانية يضرب اليورو وعملات الأسواق الناشئة,disagree
القوات السورية تسيطر على الغوطة الشرقية بالكامل وترفع العلم في دوما,القوات السورية تعلن السيطرة على الغوطة الشرقية بالكامل,agree
محكمة عسكرية مصرية تقضي بحبس هشام جنينة خمس سنوات,مصر: براءة هشام جنينة,disagree
كيف تبقي واشنطن على التعاون التركي الإيراني الروسي حيا في سوريا؟,واشنطن تهاجم التعاون التركي الإيراني الروسي في سوريا,disagree
يوم المرأة: نساء الموصل يحتفلن بحريتهن,نساء الموصل يحتفلن بحريتهن فى يوم المرأة,agree
اعتماد ميزانية الأإمارات السنوات الثلاث المقبلة,الإمارات تفشل في  اعتماد الميزانية للسنوات اللاحقة,disagree
اختفاء جمال خاشقجي: الأمين العام للأمم المتحدة يطالب بكشف الحقيقة,اختفاء جمال خاشقجي: السعودية تطالب بكشف الحقيقة,disagree
الدولار يتراجع والذهب يرتفع,ارتفاع الدولار يهبط بأسعار الذهب,disagree
القوات السورية تعلن السيطرة على الغوطة الشرقية بالكامل,فشلت القوات السورية فى السيطرة على الغوطة الشرقية,disagree
أول دولة تواجه موجة الحر بتخفيض أسعار الكهرباء للمواطنين,تخفيض أسعار الكهرباء بالتزامن مع موجة الحر,agree
وزير الخارجية الأمريكي في الرياض في بداية جولته بالشرق الأوسط,يبدأ وزير الخارجية الأمريكى جولته فى الشرق الأوسط بالرياض,agree
ما قصة نجمة جنوب أفريقيا شاشي نايدو التي مُنعت من دخول اسرائيل؟,تعرف على قصة شاشى نايدو النجمة الجنوب أفريقية التى مُنعت من دخول اسرائيل,agree
تصاعد لأسعار النفط رغم زيادة المخزون الأمريكي,تصاعد لأسعار الذهب رغم زيادة المخزون الأمريكي,disagree
عوائد السندات وصعود الدولار يهبطان بالذهب,عوائد السندات وضعف الدولار يرفعان الذهب,disagree
إيران.. اقتصاد يترنح على وقع العقوبات الأميركية,اقتصاد إيران لا يتأثر بالعقوبات الأمريكية,disagree
من هو محرم إنجة منافس أردوغان على رئاسة تركيا؟,موديز تخفض التصنيفات بالجملة في تركيا.. وأردوغان غاضب,other
التضخم يؤثر إيجابا على الذهب,أسعار الذهب تهوي بسبب مخاوف التضخم,disagree
المشاريع السياحية المصرية تحت التقييم,مصر تستثني مشاريع سياحية من التقييم,disagree
صور تعرض للمرة الأولى لأول ظهور للبيتلز في الولايات المتحدة,بالصور: أول ظهور للبيتلز في الولايات المتحدة الأمريكية,agree
مقتل فلسطيني بقصف إسرائيلي على غزة قبيل احتجاجات مرتقبة,إعادة فرض حظر التجول بعد مقتل متظاهر في احتجاجات البصرة,other
عقوبات أميركية تكنولوجية على الصين,الصين تفرض عقوبات تكنولوجية ضد أميركا,disagree
جورج نادر وعلاقته بــنفوذ الإمارات على ترامب؟,جورج نادر وعلاقته بــنفوذ السعودية على ترامب؟,disagree
كندا تنتقم من ترامب,انتقام كندي من رئيس الولايات المتحدة,agree
مصر: اختلاف الآراء بخصوص إلغاء المدارس التجريبية,وحدة الآراء المصرية بخصوص إلغاء المدارس التجريبية,disagree
السمك المملح: هل كانت إسرائيل مستعدة للتضحية بصحفي كي تصل لعرفات؟,نتنياهو: إسرائيل وجهت أعنف ضربة لحماس منذ حرب غزة 2014,other
صراعات في كردستان العراق عقب الانتخابات,تصالح ما بعد الانتخابات في كردستان العراق,disagree
تعرف على نازانين زاغاري البريطانية المتهمة بالجاسوسية فى إيران,نازانين زاغاري تنال ترحاب كبير فى إيران,disagree
أنجلينا جولي من الموصل: هذا أسوأ دمار شهدته خلال عملي مع مفوضية اللاجئين,أنجلينا جولي تشيد بما شاهدته فى الموصل,disagree
ولاية أميركية تدفع باقتصادها للمرتبة الخامسة عالميا,ولاية أميركية تحتل المرتبة العاشرة اقتصاديا,disagree
محكمة مصرية تقضي بإعدام 3 أشخاص في قضية تنظيم كتائب أنصار الشريعة,براءة 3 أشخاص في قضية تنظيم كتائب أنصار الشريعة,disagree
النفط ينخفض وسط مخاوف من حرب تجارية,مخاوف من حرب تجارية تؤدي إلى انخفاض سعر النفط,agree
سيارات المغتربين المصريين أمام  تحول جمركي جديد,سيارات المغتربين تفلت من مقترح جمركي مصري,disagree
ثلاث لافتات إعلانية يتوج بخمس جوائز بافتا,3 لافتات إعلانية يفوز بخمسة جوائز بافتا,agree
هجوم إسرائيلي على جنوب دمشق مما أدى لمقتل إيرانيين,قتلى سوريون في الغارة الإسرائيلية جنوب دمشق,disagree
هبوط عملات الأسواق الناشئة لأدنى مستوى,عملات الأسواق الناشئة تهبط لأقل مستوى,agree
السلطات الإيرانية تعتقل فتاة نشرت مقاطع راقصة على انستغرام,السلطات الايرانية تفرج عن الفتاة صاحبة المقاطع الراقصة,disagree
أدنوك و مؤسسة البترول الصينية توقعا اتفاقيتي امتياز,أدنوك و مؤسسة البترول السعودية توقعا اتفاقيتي امتياز,disagree
الريال والعقوبات.. سيناريو انهيار النظام الإيراني في 2019,هل تنهار الجمهورية الإسلامية بانهيارالريال؟,agree
قضية فتاة التجمع: هل ستعاقب صاحبة فيديو القهوة المثير للجدل في مصر؟,هل سيتم معاقبة فتاة فيديو القهوة المثير للجدل فى مصر ؟,agree
الدولار يحلّق واليورو يهبط بسبب الليرة التركية,زيادة في سعر اليورو و انخفاض لسعر الدولار بسبب الليرة التركية,disagree
إسرائيل تسقط طائرة مقاتلة سورية من نوع سوخوي فوق الجولان,اسقاط طائرة مقاتلة سورية من نوع سوخوي فوق الجولان من جانب إسرائيل,agree
تعرف على الجماعات المعارضة فى شمالى سوريا,شمال سوريا بدون جماعات معارضة,disagree
مصر تعلن عن إجراءات حماية اجتماعية هذا العام,أوسكار 2018: ما المتوقع خلال حفل توزيع الجوائز هذا العام,other
لوك أويل الروسية تعلّق مشاريعها في إيران,لوك أويل تستمر في مشاريعها الإيرانية,disagree
السودان يسجل أعلى معدل للتضخم في سنوات,تسجيل ارتفاع في معدل التضخم في السودان هو الأعلى منذ سنوات,agree
عين أسواق النفط على افتتاح المونديال,أسواق النفط تتفادى المونديال,disagree
غرق عشرات المهاجرين قبالة سواحل اليمن,تعرض عشرات المهاجرين الغير شرعيين للغرق قبالة سواحل اليمن,agree
الذهب يتعافى وسط محادثات مزمعة بين أميركا والصين,الذهب يتأثر إيجاباً بعد محادثات الصين وامريكا,agree
أردوغان يرد على ترامب بفرض عقوبات على وزيرين أمريكيين,فرض عقوبات على وزيرين أمريكيين من أردوغان ردا على ترامب,agree
وزير الخارجية الأمريكي يحذر من مغبة الهجوم على إدلب السورية,وزير الخارجية الروسي يحذر من الهجوم على إدلب السورية,disagree
هيومن رايتس ووتش: تحقيقات التحالف في اليمن بشأن الانتهاكات تفتقر إلى المصداقية,هيومن رايتس ووتش: لا مصداقية لما تم من تحقيقات من قبل التحالف في اليمن,agree
فرض أول غرامة على سيدة بسبب ارتداء النقاب في الدنمارك,فالدنمارك تدعم الحرية الشخصية في ارتداء النقاب,disagree
التحرش الجنسي بالسينما الهندية ترويه نجمات بوليوود,نجمات بالسينما الفرنسية يروين تجاربهن مع التحرش الجنسي,disagree
مصر: حبس مخرج ومؤلف عرض مسرحي احتياطيا بتهمة الإساءة للجيش,القبض على مخرج ومؤلف عرض مسرحي و حبسه احتياطيا بتهمة الإساءة للجيش المصرى,agree
مصدر والوكالة الكورية للطاقة توقعان مذكرة تفاهم,توقيع مذكرة تفاهم إماراتية كورية في مجال الطاقة,agree
أكثر من ٩٠ عرضا للنفط شمال العراق,أقل من ٩٠عرضا لنفط غرب إيران,disagree
موديز تخفّض تصنيف إيطاليا بسبب عجز الموازنة والدين العام,الدين العام يخفض تصنيف إيطاليا,agree
الحرب في سوريا: الأمم المتحدة تدعو إلى إنهاء جهنم على الأرض في الغوطة الشرقية,الأمم المتحدة تدعو لإيقاف أعمال العنف في أراضي الغوطة الشرقية بسوريا,agree
صور نادرة غيرت حياة كثيرين,حياة الكثيرين تغيرت بسبب هذه الفيديوهات النادرة,disagree
مارغو روبي تخطط لتناول مسرحيات شكسبير من منظور أنثوي,مارغو روبي تنوي كتابة مسرحيات عباس العقاد من منظور أنثوي,disagree
متاجر بدون زبائن و خوف مستقبلي بعد أزمة الليرة التركية,متاجر بدون زبائن و خوف مستقبلي بعد حرب تركيا,disagree
عمت السخرية مواقع التواصل الإجتماعي بسبب غرق أحد الأحياء بالمطر,عبّرت مواقع التواصل الإجتماعي على فرحها بنجاة أرقى أحياء مصر من الغرق,disagree
الجزائر: الصراع متواصل بين رئيس البرلمان ونواب الائتلاف الحكومي,مصالحة بين رئيس البرلمان ونواب الائتلاف الحكومي فى الجزائر,disagree
الأمم المتحدة تحذّر من تصعيد القتال جنوب غربي سوريا,الأمم المتحدة تدعم تصاعد الاشتباكات جنوب غربي سوريا,disagree
افتتاح عبد الفتاح السيسي لمجمع صناعي في صعيد مصر,افتتاح عبد الفتاح السيسي لمجمع صناعي في سيناء,disagree
إلقاء القبض على شبان تشبهوا بالنساء في السعودية,شباب يقلدون النساء بالسعودية و الشرطة تقبض عليهم,agree
تقرير دولي ينسف وهم العملات الرقمية الافتراضية,العملات الرقمية وهم يبدده تقرير دولي,agree
حكم بالسجن عامين على إيرانية خلعت حجابها على الملأ,إيران تعلن عن حكم بالسجن عامين على مواطنة خلعت حجابها على الملأ,agree
الصين تخفض رسوم استيراد السيارات الجمركية,الصين ترفع رسوم الجمارك على السيارات,disagree
متحف باريسي يسمح بدخول العراة,متحف ألماني يسمح بدخول العراة,disagree
النفط يهبط من أعلى مستوياته,هبوط قياسي للنفط من أعلى مستوى,agree
وزير الدفاع الإسرائيلي للرئيس السوري: اُطرد الإيرانيين,يطالب وزير الدفاع الإسرائيلي بطرد الإيرانيين من سوريا,agree
السعودية تسمح للهند باستخدام مجالها الجوي في رحلاتها إلى تل أبيب,السعودية.. ريال معدني بدلا من الورقي,other
برلين: واشنطن لن تتمكن من تقسيم الاتحاد الأوروبي,ألمانيا تتحدى محاولات واشنطن تقسيم الاتحاد الأوروبي,agree
الممثلة الإباحية ستورمي دانيلز تغيب عن بيغ براذر في اللحظات الأخيرة لـخلاف مع المنتجين,ستورمي دانيلز تغيب عن بيغ براذر في اللحظات الأخيرة لـخلافها مع المنتجين,agree
استنكرت الكويت تصعيد مانيلا لأزمة العمالة الفلبينية,الكويت تدعم تصعيد مانيلا لأزمة العمالة الفلبينية,disagree
برلين تنفي أي حرب تجارية وشيكة اوروبيا وأميركيا,برلين تؤكد:حرب تجارية قريبة مع الولايات المتحدة,disagree
دبي تثبت مصاريف المدارس.. وتخفض رسوما حكومية,تثبيت رسوم مدرسية وتخفيض أخرى حكومية في دبي,agree
احتجاز صحفييْن مصرييْن 15 يوما بتهمة تكدير الأمن العام,احتجاز صحفييْن مصرييْن 30 يوما بتهمة تكدير الأمن العام,disagree
الرئيس الإيراني ينتقد عنف شرطة الأخلاق,شجع الرئيس الإيراني شرطة الأخلاق على العنف,disagree
تهديدات ترامب تهوي بالريال الإيراني إلى الحضيض,رغم تهديدات ترامب الريال الإيراني يتعافى,disagree
شركة طيران روسية تعلن موعد استئناف الرحلات للقاهرة,استئناف الرحلات الجوية بين روسيا ومصر,agree
الدولار يرتفع معوضا خسائر التعاملات المبكرة,ارتفاع لسعر الدولار يعوض خسائر التعاملات المبكرة,agree
أردوغان: القوات التركية قد تدخل عفرين السورية في أي لحظة,أعلنت تركيا عن عزمها للتحرك نحو عفرين السورية في أي وقت,agree
الليرة التركية.. صعود طفيف بعد الانتخابات,صعود في قيمة الليرة التركية,agree
تظاهر الآلاف في المغرب تنديدا بسجن قادة الحراك الشعبي,الآلاف في المغرب يدعمون سجن قادة الحراك الشعبي,disagree
مذيعتان تتجردان من الملابس لاختبار الحقيقة العارية,الحقيقة العارية تجعل مذيعتان تتجردان من ملابسهما,agree
أعلن الرئيس ترامب بأنه ثمن الهجوم الكيماوي على المدنيين فى سوريا سيكون باهظا,أعلن الرئيس ترامب دعمه للهجوم الكيماوي فى سوريا,disagree
واشنطن تقرر سحب بعض أنظمة باتريوت من الكويت والبحرين والأردن,واشنطن تقرر سحب بعض أنظمة باتريوت من مصر,disagree
الإمارات: السجن عشر سنوات للناشط الحقوقي أحمد منصور,أعلنت الإمارات عن إصدار حكم بسجن الناشط الحقوقي أحمر منصور لمدة عشر سنوات,agree
بريطانيا تطالب بسلطات أوسع للمحققين في الهجمات الكيمياوية في سوريا,بريطانيا تطالب بسحب المحققين في الهجمات الكيمياوية في سوريا,disagree
تركيا تطالب واشنطن بعدم السماح للأكراد بإرسال تعزيزات إلى عفرين,طالبت تركيا أمريكا بألا تسمح للأكراد بإرسال الدعم إلى عفرين,agree
الجيش المصرى متهم باستخدام القنابل العنقودية فى سيناء,براءة الجيش المصرى من تهمة استخدام القنابل العنقودية فى سيناء,disagree
إسرائيل تغلق معبر الأفراد الوحيد مع قطاع غزة,فتح معبر الأفراد الوحيد بين إسرائيل و قطاع غزة,disagree
تحذير صيني جديد جراء الحرب التجارية الأميركية,العالم يحذر الصين من حربها التجارية ضد أميركا,disagree
الجيش العراقي يقتل 45 من عناصر تنظيم الدولة في غارات جوية شرقي سوريا,هدوء بين تنظيم الدولة و الجيش العراقي شرقي سوري,disagree
النيابة بمصر تحبس معصوم مرزوق على ذمة التحقيق وتتهمه بتحقيق أهداف جماعة إرهابية,اخلاء سبيل معصوم مرزوق,disagree
وزير الطاقة الإماراتي: قريبون من بلوغ الاتزان في سوق النفط,الإمارات تحذر: سوق النفط يتضعضع,disagree
قافلة مساعدات إنسانية تتجه للغوطة الشرقية ضمت 25 حافلة,الغوطة الشرقية بدون مساعدات إنسانية,disagree
عشرات الآلاف من مقاتلي تنظيم الدولة مازالوا منتشرين في سوريا والعراق,انتشار آلاف المقاتلين من تنظيم الدولة بسوريا و العراق,agree
نتنياهو: اتهامات الشرطة الإسرائيلية لي ادعاءات لا أساس لها,قام نتينياهو بنفي إشاعات إسرائيل له,agree
استنزاف قطر لصالح تركيا باتفاق جديد,في اتفاق جديد: تركيا تستنزف لصالح قطر,disagree
تصريحات أوبك بشأن سوق النفط الذي يتلقى إمدادت كافية وتحذير من التخمة,تصريحات الولايات المتحدة بشأن سوق النفط الذي يتلقى إمدادت قليلة,disagree
الأمم المتحدة تحذر من كارثة بسبب الغارات الجوية على درعا بسوريا,توقف الغارات الجوية على درعا و هدوء الأوضاع,disagree
شهدت جنازة رزان النجار حضورا كبيرا,كادت أن تخلو جنازة رزان النجار من الحضور,disagree
٣ مليار دولار لمصر وفق اتفاق جديد,مصر  تفقد اتفاقا بملياري دولار,disagree
السعودية تسمح للهند باستخدام مجالها الجوي في رحلاتها إلى تل أبيب,السعودية تفتح مجالها الجوى أمام الهند فى رحلاتها إلى تل أبيب,agree
تهديدات ترامب قد تفقد كندا 176 ألف وظيفة,تهديدات ترامب قد تفقد كندا 176 مليون يورو,disagree
الجزائر تقر زيادة الرسوم الجمركية,الجزائر تخفض رسومها الجمركية,disagree
محكمة سعودية ترفض زواج امرأة من رجل لأنه يعزف العود,رفضت محكمة سعودية زواج امرأة من رجل بسبب عزفه للعود,agree
طالب بريطاني متهم بالتجسس في الإمارات,اتهام السلطات الإماراتية لطالب بريطاني بالتجسس عليها,agree
شركة طيران روسية تعلن موعد استئناف الرحلات للقاهرة,توقف جديد لرحلات الطيران بين روسيا ومصر,disagree
السعودية: تغييرات واسعة تشمل قيادات كبرى بالجيش في إطار رؤية تطوير استراتيجية,لا تغييرات فى قيادات الجيش فى السعودية,disagree
تنظيم الدولة الإسلامية يقتل عشرات من قوات الحشد الشعبي العراقية في كمين قرب كركوك,هجوم من تنظيم الدولة في كمين قرب كركوك دون سقوط قتلى,disagree
أسعار النفط ترتفع وصعود ببورصة وول ستريت,ارتفاع في أسعار النفط وصعود في وول ستريت,agree
مصر تستعرض مشاريعها في التحدي والإنجاز,ليبيا تستعرض مشاريعها,disagree
تراجع صعود الذهب بالتزامن مع تراجع الدولار,تراجع بالذهب مع ارتفاع الدولار,disagree
مصر والأردن يوقعان اتفاقية تحرير تجارة الخدمات العربية,مصر والأردن توقعان اتفاقا تجاريا,agree
